,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
97,000001.XSHE,000001,平安银行,XSHE,2021-06-01,24.2,24.2,24.2,24.25,23.5,23.92,62501796,1490476624.56,65665,0.0032,1.0,464185647640,464189563344,-0.0116,15.2133,11.4536,1.2458,1,23.847
98,000001.XSHE,000001,平安银行,XSHE,2021-06-02,23.92,23.92,23.89,23.92,23.38,23.89,49752702,1176608126.99,69240,0.0026,1.0,463603475005,463607385798,-0.0013,15.1943,11.4392,1.2442,1,23.649
99,000001.XSHE,000001,平安银行,XSHE,2021-06-03,23.89,23.89,23.72,24.14,23.68,23.77,40090085,958876472.45,51853,0.0021,1.0,461274784465,461278675614,-0.005,15.1179,11.3817,1.2379,1,23.918
100,000001.XSHE,000001,平安银行,XSHE,2021-06-04,23.77,23.77,23.99,24.96,23.8,24.54,75673942,1851425837.61,81233,0.0039,1.0,476217215430,476221232628,0.0324,15.6077,11.7504,1.278,1,24.466
101,000001.XSHE,000001,平安银行,XSHE,2021-06-07,24.54,24.54,24.48,24.48,23.93,24.3,44791410,1081738832.95,53384,0.0023,1.0,471559834350,471563812260,-0.0098,15.455,11.6355,1.2655,1,24.151
102,000001.XSHE,000001,平安银行,XSHE,2021-06-08,24.3,24.3,24.15,24.57,23.95,24.53,57007792,1384120301.27,56054,0.0029,1.0,476023157885,476027173446,0.0095,15.6013,11.7456,1.2775,1,24.279
103,000001.XSHE,000001,平安银行,XSHE,2021-06-09,24.53,24.53,24.43,24.88,24.18,24.65,45383150,1116771375.46,55078,0.0023,1.0,478351848425,478355883630,0.0049,15.6776,11.8031,1.2838,1,24.608
104,000001.XSHE,000001,平安银行,XSHE,2021-06-10,24.65,24.65,24.66,25.06,24.15,24.2,53021516,1294972566.65,57765,0.0027,1.0,469619258900,469623220440,-0.0183,15.3914,11.5876,1.2603,1,24.424
105,000001.XSHE,000001,平安银行,XSHE,2021-06-11,24.2,24.2,24.31,24.35,23.12,23.37,83466504,1965393115.5,86861,0.0043,1.0,453512482665,453516308334,-0.0343,14.8635,11.1902,1.2171,1,23.547
106,000001.XSHE,000001,平安银行,XSHE,2021-06-15,23.37,23.37,23.35,23.43,22.8,23.22,66062259,1524503477.67,80705,0.0034,1.0,450601619490,450605420604,-0.0064,14.7681,11.1184,1.2093,1,23.077
107,000001.XSHE,000001,平安银行,XSHE,2021-06-16,23.22,23.22,23.22,23.4,23.01,23.26,37820804,878470834.12,47817,0.0019,1.0,451377849670,451381657332,0.0017,14.7936,11.1375,1.2114,1,23.227
108,000001.XSHE,000001,平安银行,XSHE,2021-06-17,23.26,23.26,23.02,23.69,23.02,23.1,45328209,1059121804.33,52919,0.0023,1.0,448272928950,448276710420,-0.0069,14.6918,11.0609,1.203,1,23.366
109,000001.XSHE,000001,平安银行,XSHE,2021-06-18,23.1,23.1,23.13,23.28,22.39,22.65,69409930,1574437729.58,67666,0.0036,1.0,439540339425,439544047230,-0.0195,14.4056,10.8454,1.1796,1,22.683
